avg_goldEarned	avg_kills	avg_deaths	avg_assists	avg_totalDamageTaken	avg_totalMinionsKilled	avg_visionScore	avg_visionWardsBoughtInGame	avg_gameDuration	var_goldEarned	var_kills	var_deaths	var_assists	var_totalDamageTaken	var_totalMinionsKilled	var_visionScore	var_visionWardsBoughtInGame	var_gameDuration	won	weight	solo_q_tier	solo_q_division	flex_tier	flex_division
11511.673913	6.27717391304	2.99456521739	8.82608695652	10866.5163043	156.244565218	9.55434782609	1.875	1881.10326087	20200181.4351	17.1386908382	4.84974504662	32.2961123568	27231768.9173	3849.70045385	268.517309276	1.08716143458	430309.280136	65.3804347826	113.152173913	BRONZE	I		
11888.1494845	5.0	6.29381443299	11.3917525773	18813.8505155	80.2010309278	5.30927835052	3.78865979381	1978.69587629	15610853.2387	11.2880679102	10.8739271474	30.5180789784	75878054.9858	1811.09696845	265.580856016	4.26401971776	354762.031555	28.9381443299	50.0206185567	SILVER	V	SILVER	V
11872.0576923	7.63461538462	5.94230769231	7.82692307692	18590.4615385	149.826923077	2.5	0.230769230769	1922.73076923	18765675.0362	16.4115384615	7.76955128206	22.225	58818232.6125	4034.35705128	48.4426282051	0.195833333333	405842.088461	4.59615384615	9.42307692308	GOLD	III	SILVER	IV
11224.9907407	6.44444444444	7.89814814815	8.9537037037	19735.8888889	143.398148148	3.5	0.0	1860.36111111	16092661.0791	14.7680450979	11.9446663162	26.4589749243	64609686.5531	3390.39590541	20.0372207525	0.0	350195.019774	9.72222222222	17.7592592593	SILVER	V	SILVER	V
11673.5985401	5.78102189781	7.29927007299	7.1094890511	22252.7007299	144.693430657	2.01459854015	0.649635036497	1935.79562044	13274501.7991	13.0592891901	9.42128953771	20.2436652763	117423463.223	3413.85545707	39.3842457421	0.697488703511	267243.008264	7.27737226277	14.6058394161	SILVER	II	SILVER	II
12937.8372093	9.20930232558	7.75581395349	7.29069767442	21247.4767442	178.38372093	0.0	0.476744186047	1830.96511628	23987888.1817	30.6409830853	14.5582939908	22.288536973	78084997.9912	4099.85888637	0.0	0.351679773375	364465.487244	6.6976744186	10.976744186	SILVER	III	SILVER	V
11614.3454546	7.8	5.18181818182	7.87272727273	17702.9090909	156.0	1.38181818182	0.0	1800.83636364	18509946.3522	20.6464048147	11.7831643966	21.1170890086	85660852.4764	4024.05749129	33.6931263858	0.0	393375.901251	18.5272727273	31.8363636364	BRONZE	III	SILVER	V
11840.0307692	7.44615384615	6.90769230769	6.86153846154	20681.8461538	156.123076923	9.81538461539	0.953846153846	1890.81538462	13289821.1582	16.2502527538	9.11700260524	17.3109419992	71621816.7636	2199.31844783	76.6296119568	0.806224233283	265980.706767	5.72307692308	9.46153846154	SILVER	III	BRONZE	III
11060.7234042	7.26241134752	5.82269503546	7.8865248227	17494.8297872	113.531914894	5.49645390072	0.439716312057	1783.42553192	27354808.0162	26.1514864705	13.240567341	30.8190974997	105672227.495	4315.49519403	82.86144125	0.760892559645	606706.511721	20.7163120567	33.0283687943	PLATINUM	V	SILVER	III
11716.1718062	7.18502202643	7.08370044053	6.82378854625	19210.4317181	161.555066079	3.50660792952	0.348017621145	1830.95594714	22042874.1284	22.6611301474	12.8569680026	22.8020513187	80887936.3835	4073.17220679	75.5262404996	0.445542621842	380276.632473	16.3436123348	32.718061674	SILVER	IV	BRONZE	IV
11818.5689655	7.39655172414	6.5	7.05172413793	17341.2413793	159.224137931	1.12068965517	0.206896551724	1781.34482759	16534218.5829	19.9530651341	5.3775862069	22.9881226054	42516105.5038	3074.25862069	10.7931034483	0.130459770115	211210.992912	4.44827586207	8.75862068966	BRONZE	I	BRONZE	I
10345.3966942	4.87603305785	5.48760330578	8.84297520661	14548.3140496	69.0	0.00826446280989	1.5785123967	1838.44628099	17558983.4658	10.0997871275	11.2694653143	31.329626847	59728066.4355	1025.64916729	0.00817054845978	0.867950162787	430481.004314	33.520661157	66.3388429752	SILVER	V	BRONZE	III
10200.1549296	5.39436619719	5.80281690141	7.70422535211	16387.6338028	99.8028169014	7.04225352113	0.30985915493	1815.35211268	17703621.0622	13.7326860151	11.107582871	22.1174135723	60681821.0915	3133.4549438	57.1729975815	0.44817185944	419456.083404	11.0985915493	21.7042253521	BRONZE	III	BRONZE	III
10931.244898	4.68367346939	6.13265306123	8.75510204081	17129.2857143	113.275510204	0.612244897959	1.38775510204	1845.5	13800639.1126	7.10653975877	8.77379237408	29.2762919453	57515316.3703	2000.2277068	29.387755102	1.58750214371	321900.419249	7.28571428571	13.5102040816	DIAMOND	V	DIAMOND	III
